url,parenturl,depth
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQO0000048,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQP0000051,16
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GHJa0000023",http://www.chcedo.com/bestseller/bestsellerAward.htm,8
http://www.chcedo.com/store/storeIndex.htm,http://www.chcedo.com/index.htm,4
http://www.chcedo.com/product/productdetail.htm?pid=11717GHIO0000009,http://www.chcedo.com/beauty/beautyVideoDetail.htm?vid=15217IPPT0004040,17
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQL0000043,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQL0000044,18
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQK0000042,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQL0000043,19
http://www.chcedo.com/hufu/chanpinxilie/ningshixianyanxilie/jihuoshuang-35.html,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSq0000115,36
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQ00000023,http://www.chcedo.com/product/productdetail.htm?pid=11717GFPV0000017,13
http://www.chcedo.com/activity/activityIndex.htm,http://www.chcedo.com/apply/applyIndex.htm,11
http://www.chcedo.com/beauty/beautyVideoDetail.htm?vid=15218CEKy1641493,http://www.chcedo.com/beauty/beautyIndex.htm,15
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQH0000038,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQI0000039,22
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS80000107,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS80000108,51
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000086,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000087,65
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQy0000031,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQz0000032,86
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDKA0000170,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDKB0000171,108
http://www.chcedo.com/product/productdetail.htm?pid=11717GFRa0000128,http://www.chcedo.com/product/productdetail.htm?pid=11717GFRd0000138,13
http://www.chcedo.com/index.htm,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQT0000099,3
http://www.chcedo.com/product/productdetail.htm?pid=11717GHK30000055,http://www.chcedo.com/product/productdetail.htm?pid=11717GHKS0000066,18
http://www.chcedo.com/product/productdetail.htm?pid=15218CMPr0032657,http://www.chcedo.com/skin/productList_100001006.htm,8
